1959,0.66
1960,0.35
1961,0.69
1962,0.46
1963,0.48
1964,0.14
1965,0.10
1966,0.98
1967,0.11
1968,0.21
1969,0.50
1970,0.51
1971,0.22
1972,0.13
1973,1.04
1974,1.33
1975,0.18
1976,0.20
1977,-0.24
1978,0.00
1979,0.65
1980,0.77
1981,0.68
1982,0.64
1983,0.61
1984,0.97
1985,0.58
1986,0.70
1987,0.55
1988,-0.38
1989,0.61
1990,1.87
1991,0.51
1992,1.13
1993,0.65
1994,0.87
1995,0.84
1996,0.60
1997,0.77
1998,1.30
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,
2012,
2013,
2014,
2015,
2016,
