1849,0.75
1850,0.76
1851,0.76
1852,0.77
1853,0.77
1854,0.77
1855,0.77
1856,0.77
1857,0.78
1858,0.79
1859,0.78
1860,0.73
1861,0.70
1862,0.69
1863,0.68
1864,0.67
1865,0.67
1866,0.65
1867,0.65
1868,0.64
1869,0.63
1870,0.75
1871,0.80
1872,0.83
1873,0.86
1874,0.88
1875,0.90
1876,0.92
1877,0.94
1878,0.95
1879,0.96
1880,0.94
1881,0.96
1882,0.97
1883,0.98
1884,0.98
1885,0.99
1886,0.99
1887,0.99
1888,1.00
1889,1.00
1890,1.06
1891,1.10
1892,1.13
1893,1.14
1894,1.15
1895,1.17
1896,1.18
1897,1.19
1898,1.19
1899,1.20
1900,1.26
1901,1.31
1902,1.34
1903,1.37
1904,1.39
1905,1.41
1906,1.42
1907,1.44
1908,1.44
1909,1.46
1910,1.41
1911,1.41
1912,1.39
1913,1.39
1914,1.36
1915,1.35
1916,1.34
1917,1.33
1918,1.32
1919,1.30
1920,1.37
1921,1.41
1922,1.44
1923,1.45
1924,1.46
1925,1.47
1926,1.47
1927,1.48
1928,1.49
1929,1.48
1930,1.54
1931,1.58
1932,1.59
1933,1.61
1934,1.62
1935,1.62
1936,1.64
1937,1.64
1938,1.64
1939,1.64
1940,1.70
1941,1.77
1942,1.78
1943,1.80
1944,1.80
1945,1.79
1946,1.78
1947,1.78
1948,1.77
1949,1.75
1950,1.95
1951,2.10
1952,2.16
1953,2.22
1954,2.27
1955,2.29
1956,2.32
1957,2.33
1958,2.35
1959,2.36
1960,2.08
1961,1.93
1962,1.85
1963,1.79
1964,1.75
1965,1.72
1966,1.69
1967,1.67
1968,1.65
1969,1.63
1970,1.55
1971,1.51
1972,1.48
1973,1.44
1974,1.41
1975,1.37
1976,1.35
1977,1.32
1978,1.30
1979,1.28
1980,1.39
1981,1.43
1982,1.46
1983,1.49
1984,1.52
1985,1.53
1986,1.56
1987,1.59
1988,1.62
1989,1.64
1990,1.45
1991,1.37
1992,1.30
1993,1.25
1994,1.20
1995,1.16
1996,1.11
1997,1.56
1998,1.00
1999,0.98
2000,1.27
2001,1.04
2002,1.29
2003,1.47
2004,1.33
2005,1.12
2006,1.11
2007,1.01
2008,1.09
2009,1.82
2010,1.59
2011,1.53
2012,1.65
2013,1.76
2014,1.64
2015,1.83
2016,1.43
